customer_id,loan_id,loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status,application_date,approval_date,disbursement_date,due_date
CUST-00001708,LN00002486,"Education Loan",4890,0,23,Full-time,Low,501,Female,Single,PhD,False,2019-08-05,2019-08-31,2019-09-10,2020-01-10
CUST-00002008,LN00001447,"Car Loan",42606,0,57,Full-time,High,675,Female,Single,PhD,False,2019-11-02,2019-12-01,2019-12-14,2020-06-03
CUST-00001274,LN00000469,"Car Loan",97276,0,59,Full-time,Low,549,Male,Married,PhD,False,2020-06-23,2020-07-07,2020-07-15,2020-10-15
CUST-00004435,LN00000630,"Home Loan",81038,0,21,Full-time,High,745,Female,Single,PhD,False,2021-04-22,2021-04-28,2021-05-01,2021-06-22
CUST-00002105,LN00003383,"Home Loan",88313,0,26,Self-employed,Low,577,Male,Divorced,"High School",False,2018-01-18,2018-02-15,2018-02-22,2018-04-02
CUST-00002968,LN00000114,"Education Loan",11627,0,35,Self-employed,Medium,411,Female,Married,Master,False,2021-11-07,2021-11-12,2021-11-16,2022-05-06
CUST-00004243,LN00001226,"Home Loan",9792,0,37,Self-employed,Low,772,Female,Single,Bachelor,False,2022-05-14,2022-06-04,2022-06-06,2022-10-09
CUST-00004842,LN00004343,"Personal Loan",74969,0,58,Part-time,Low,691,Male,Single,PhD,True,2020-01-06,2020-01-31,2020-02-12,2020-04-15
CUST-00001213,LN00001617,"Personal Loan",44001,0,53,Self-employed,High,442,Female,Single,"High School",True,2019-09-13,2019-10-12,2019-10-17,2020-02-18
CUST-00002296,LN00003318,"Education Loan",77552,0,50,Self-employed,Low,331,Female,Divorced,Master,False,2019-10-05,2019-10-18,2019-10-21,2019-12-28
CUST-00002198,LN00004641,"Car Loan",24897,0,14,Part-time,Low,480,Male,Single,"High School",False,2019-06-26,2019-07-13,2019-07-25,2019-11-11
CUST-00004810,LN00002671,"Car Loan",69148,0,13,Part-time,Low,815,Male,Divorced,PhD,True,2022-03-12,2022-04-07,2022-04-19,2022-10-15
CUST-00003285,LN00004814,"Personal Loan",24483,0,17,Full-time,High,568,Male,Married,Master,False,2021-04-30,2021-05-28,2021-05-30,2021-10-06
CUST-00002265,LN00004874,"Car Loan",49555,0,32,Self-employed,Low,535,Male,Single,Bachelor,False,2018-07-17,2018-07-23,2018-07-26,2018-09-16
CUST-00001611,LN00003069,"Home Loan",18159,0,20,Self-employed,Medium,576,Female,Divorced,Bachelor,False,2021-06-19,2021-07-13,2021-07-25,2021-09-17
CUST-00001419,LN00002538,"Personal Loan",81077,0,21,Part-time,Medium,574,Female,Single,"High School",False,2018-04-01,2018-04-06,2018-04-06,2018-09-16
CUST-00001787,LN00003175,"Education Loan",36920,0,47,Full-time,High,385,Male,Single,Bachelor,True,2020-10-22,2020-11-14,2020-11-23,2021-03-22
CUST-00004400,LN00002638,"Car Loan",93067,0,14,Self-employed,Low,362,Female,Married,Bachelor,True,2020-02-27,2020-03-03,2020-03-10,2020-04-14
CUST-00003483,LN00002223,"Education Loan",68121,0,52,Part-time,High,703,Male,Married,Master,False,2020-09-03,2020-09-08,2020-09-16,2020-11-03
CUST-00001878,LN00000052,"Education Loan",70479,0,35,Part-time,Low,491,Male,Divorced,Bachelor,True,2019-09-01,2019-09-20,2019-09-25,2019-11-12
CUST-00002908,LN00002345,"Car Loan",90475,0,33,Self-employed,High,592,Male,Divorced,Master,False,2019-04-10,2019-05-01,2019-05-05,2019-09-21
CUST-00000380,LN00002223,"Car Loan",20457,0,25,Part-time,Low,330,Female,Divorced,Master,False,2021-08-01,2021-08-10,2021-08-21,2022-01-08
CUST-00003301,LN00004696,"Personal Loan",67557,0,53,Part-time,Low,629,Female,Married,Master,False,2020-02-16,2020-02-19,2020-02-27,2020-06-30
CUST-00000694,LN00004267,"Personal Loan",78189,0,56,Self-employed,High,406,Female,Divorced,Bachelor,False,2020-10-24,2020-11-02,2020-11-05,2021-03-01
CUST-00003577,LN00003109,"Education Loan",79953,0,55,Full-time,High,575,Male,Married,"High School",False,2021-06-15,2021-07-06,2021-07-19,2022-01-04
CUST-00004146,LN00001659,"Education Loan",53995,0,38,Self-employed,High,381,Male,Married,"High School",False,2019-07-06,2019-07-06,2019-07-06,2019-08-17
CUST-00001448,LN00003558,"Personal Loan",41757,0,44,Full-time,Low,363,Female,Single,Bachelor,False,2022-01-02,2022-01-24,2022-02-04,2022-05-30
CUST-00002391,LN00004551,"Education Loan",10692,0,33,Part-time,High,428,Female,Single,Master,False,2020-06-27,2020-07-10,2020-07-22,2020-11-04
CUST-00001756,LN00004823,"Home Loan",46758,0,40,Self-employed,Low,555,Female,Divorced,Bachelor,False,2021-11-14,2021-12-01,2021-12-11,2022-03-27
CUST-00003085,LN00000887,"Car Loan",73409,0,30,Self-employed,Medium,530,Female,Married,PhD,False,2021-09-14,2021-10-05,2021-10-11,2021-12-02
CUST-00001880,LN00003054,"Car Loan",72211,0,30,Full-time,Medium,796,Male,Married,"High School",True,2022-12-23,2022-12-31,2022-12-31,2023-04-09
CUST-00002810,LN00002803,"Home Loan",66697,0,17,Part-time,Low,436,Female,Married,Master,True,2018-08-29,2018-09-07,2018-09-20,2019-02-21
CUST-00000848,LN00002198,"Personal Loan",38065,0,56,Self-employed,Low,754,Female,Single,Bachelor,False,2022-06-27,2022-07-15,2022-07-29,2022-10-24
CUST-00002972,LN00004011,"Personal Loan",93093,0,30,Self-employed,High,654,Male,Married,Master,False,2020-03-19,2020-03-22,2020-04-02,2020-09-16
CUST-00004062,LN00000636,"Education Loan",33606,0,24,Part-time,Low,784,Female,Divorced,PhD,False,2022-02-27,2022-03-19,2022-03-27,2022-07-02
CUST-00001196,LN00003015,"Education Loan",12534,0,37,Full-time,Low,445,Female,Divorced,Master,False,2020-06-14,2020-07-07,2020-07-10,2020-10-17
CUST-00001513,LN00003886,"Personal Loan",95663,0,33,Self-employed,Medium,332,Female,Single,PhD,False,2020-10-04,2020-10-16,2020-10-27,2021-02-15
CUST-00003903,LN00002083,"Education Loan",41397,0,32,Part-time,High,559,Male,Divorced,"High School",False,2020-12-20,2020-12-29,2020-12-31,2021-02-06
CUST-00003321,LN00000175,"Home Loan",92387,0,47,Self-employed,High,386,Male,Married,Master,False,2020-12-21,2021-01-02,2021-01-05,2021-05-28
CUST-00002458,LN00001057,"Car Loan",2016,0,13,Self-employed,Low,564,Female,Married,Bachelor,False,2022-10-28,2022-11-18,2022-11-18,2023-01-14
CUST-00003463,LN00001749,"Home Loan",90789,0,58,Self-employed,High,841,Male,Divorced,Master,False,2020-02-06,2020-02-17,2020-02-22,2020-05-28
CUST-00003451,LN00002763,"Car Loan",56591,0,55,Full-time,Medium,691,Female,Single,Master,False,2022-11-24,2022-12-17,2022-12-23,2023-05-15
CUST-00000227,LN00003469,"Car Loan",90812,0,41,Part-time,Medium,531,Female,Married,PhD,False,2022-01-15,2022-01-17,2022-01-23,2022-05-12
CUST-00001808,LN00002302,"Education Loan",24247,0,38,Self-employed,Medium,746,Male,Married,PhD,False,2021-07-24,2021-08-11,2021-08-15,2022-02-05
CUST-00004309,LN00000568,"Education Loan",25300,0,18,Self-employed,Low,428,Female,Single,Bachelor,False,2021-03-28,2021-04-05,2021-04-18,2021-09-28
CUST-00000419,LN00004419,"Car Loan",75065,0,31,Self-employed,Low,570,Male,Married,"High School",False,2021-06-16,2021-06-28,2021-07-07,2021-08-19
CUST-00001876,LN00001784,"Education Loan",83798,0,42,Full-time,Medium,388,Male,Divorced,"High School",True,2018-02-12,2018-03-05,2018-03-16,2018-08-06
CUST-00003156,LN00002144,"Home Loan",10268,0,34,Self-employed,Medium,765,Male,Divorced,PhD,False,2020-05-24,2020-05-31,2020-06-09,2020-10-23
CUST-00000919,LN00004439,"Personal Loan",87807,0,24,Part-time,High,469,Female,Single,Bachelor,False,2019-02-17,2019-02-20,2019-02-24,2019-06-09
CUST-00004873,LN00002241,"Education Loan",13185,0,28,Full-time,High,427,Female,Single,Master,False,2022-01-02,2022-01-22,2022-01-27,2022-05-19
CUST-00004055,LN00002559,"Education Loan",64704,0,15,Part-time,High,473,Female,Divorced,Bachelor,False,2021-08-30,2021-09-26,2021-10-05,2022-01-27
CUST-00003819,LN00001475,"Education Loan",87779,0,25,Self-employed,High,325,Female,Single,Bachelor,False,2021-03-21,2021-03-29,2021-04-09,2021-06-06
CUST-00004272,LN00004103,"Personal Loan",40099,0,31,Self-employed,Medium,810,Male,Divorced,Bachelor,False,2021-01-08,2021-01-14,2021-01-21,2021-04-09
CUST-00002632,LN00000330,"Home Loan",9571,0,24,Full-time,High,787,Female,Single,"High School",False,2021-03-06,2021-04-04,2021-04-12,2021-05-13
CUST-00003675,LN00004179,"Car Loan",39044,0,14,Self-employed,Medium,705,Female,Divorced,Master,False,2022-10-15,2022-11-04,2022-11-17,2023-03-15
CUST-00001346,LN00002674,"Home Loan",52214,0,37,Part-time,Medium,325,Male,Married,Bachelor,True,2022-01-13,2022-02-04,2022-02-09,2022-05-19
CUST-00004631,LN00004623,"Education Loan",62228,0,37,Part-time,Low,382,Male,Married,"High School",False,2021-11-10,2021-11-20,2021-11-22,2022-02-05
CUST-00001830,LN00000890,"Personal Loan",49984,0,29,Part-time,High,663,Female,Divorced,"High School",False,2022-08-28,2022-09-21,2022-09-26,2022-12-27
CUST-00001664,LN00000762,"Home Loan",41774,0,43,Self-employed,Medium,666,Male,Married,PhD,True,2019-01-18,2019-02-16,2019-03-02,2019-07-28
CUST-00004420,LN00001024,"Education Loan",3568,0,25,Self-employed,Low,359,Female,Divorced,Master,False,2018-06-14,2018-06-28,2018-07-01,2018-10-23
CUST-00000085,LN00001681,"Education Loan",63592,0,58,Full-time,Low,591,Female,Single,Bachelor,False,2019-12-10,2019-12-22,2019-12-25,2020-06-20
CUST-00003813,LN00003257,"Car Loan",68563,0,14,Full-time,Medium,490,Male,Married,Master,False,2018-10-29,2018-10-31,2018-11-10,2019-01-05
CUST-00000887,LN00001062,"Personal Loan",3695,0,12,Part-time,Medium,760,Male,Married,PhD,False,2020-02-13,2020-02-15,2020-02-25,2020-04-17
CUST-00003340,LN00000904,"Car Loan",49190,0,37,Part-time,High,532,Female,Married,PhD,False,2020-12-07,2020-12-26,2021-01-01,2021-05-10
CUST-00004208,LN00000134,"Home Loan",6258,0,35,Full-time,High,773,Female,Divorced,Bachelor,False,2021-02-24,2021-03-06,2021-03-11,2021-05-18
CUST-00002676,LN00001126,"Car Loan",88538,0,46,Full-time,Medium,704,Female,Married,"High School",False,2019-01-03,2019-01-28,2019-02-04,2019-05-02
CUST-00002798,LN00001965,"Home Loan",40504,0,25,Part-time,Medium,570,Female,Single,PhD,False,2019-10-10,2019-11-01,2019-11-11,2020-01-24
CUST-00004148,LN00002040,"Education Loan",34159,0,14,Full-time,Low,433,Female,Married,"High School",False,2020-11-21,2020-12-11,2020-12-18,2021-06-07
CUST-00002132,LN00004189,"Personal Loan",14986,0,24,Self-employed,Low,470,Male,Single,PhD,False,2019-05-22,2019-05-26,2019-05-28,2019-11-23
CUST-00003695,LN00002850,"Personal Loan",62858,0,58,Self-employed,Low,714,Female,Married,Master,False,2019-09-05,2019-09-24,2019-10-04,2019-11-19
CUST-00002760,LN00003212,"Education Loan",13666,0,25,Full-time,Low,327,Male,Married,Bachelor,False,2018-03-18,2018-04-10,2018-04-13,2018-06-19
CUST-00002779,LN00003367,"Personal Loan",39660,0,32,Full-time,Low,435,Male,Single,PhD,False,2019-12-08,2019-12-26,2019-12-27,2020-04-24
CUST-00000741,LN00002912,"Car Loan",4561,0,37,Self-employed,High,704,Male,Married,Master,False,2021-05-09,2021-05-20,2021-05-20,2021-07-19
CUST-00002877,LN00004870,"Home Loan",27854,0,14,Self-employed,Low,804,Female,Single,PhD,False,2018-03-09,2018-03-26,2018-04-01,2018-08-06
CUST-00004521,LN00002592,"Home Loan",65505,0,51,Part-time,Medium,540,Female,Single,Bachelor,False,2020-11-17,2020-11-20,2020-11-27,2021-02-22
CUST-00001712,LN00004284,"Home Loan",53251,0,15,Full-time,High,743,Male,Single,Master,True,2020-07-24,2020-08-21,2020-09-01,2020-12-30
CUST-00000056,LN00002184,"Car Loan",23662,0,47,Self-employed,Low,733,Male,Married,"High School",False,2019-02-04,2019-02-11,2019-02-25,2019-04-12
CUST-00003363,LN00004262,"Home Loan",9392,0,54,Full-time,Low,527,Male,Married,PhD,False,2018-02-26,2018-03-11,2018-03-18,2018-08-14
CUST-00002860,LN00003549,"Personal Loan",31535,0,12,Self-employed,Low,808,Male,Single,PhD,False,2021-05-11,2021-06-09,2021-06-21,2021-08-12
CUST-00000807,LN00000245,"Home Loan",79603,0,51,Self-employed,Medium,602,Male,Married,Master,True,2019-07-21,2019-08-05,2019-08-10,2020-02-03
CUST-00003057,LN00001180,"Car Loan",53256,0,58,Full-time,Low,333,Female,Divorced,Bachelor,False,2021-01-11,2021-01-30,2021-02-05,2021-06-10
CUST-00004751,LN00004926,"Personal Loan",90135,0,44,Part-time,Medium,301,Male,Single,PhD,True,2019-09-10,2019-09-17,2019-09-24,2019-10-27
CUST-00001007,LN00001779,"Education Loan",36222,0,18,Self-employed,Medium,661,Female,Single,Master,True,2021-06-28,2021-07-02,2021-07-05,2021-10-15
CUST-00004104,LN00002536,"Personal Loan",78373,0,22,Full-time,Low,494,Male,Divorced,Bachelor,True,2018-12-08,2018-12-16,2018-12-23,2019-04-06
CUST-00001782,LN00000437,"Car Loan",80575,0,38,Self-employed,Low,607,Male,Divorced,PhD,False,2019-02-27,2019-02-28,2019-03-05,2019-05-22
CUST-00000990,LN00002271,"Personal Loan",97354,0,25,Full-time,High,549,Female,Single,Master,False,2019-03-15,2019-03-22,2019-04-02,2019-08-18
CUST-00003934,LN00001825,"Home Loan",85651,0,33,Full-time,High,446,Female,Divorced,Bachelor,False,2019-02-18,2019-02-24,2019-03-02,2019-04-26
CUST-00003165,LN00000794,"Car Loan",64335,0,27,Self-employed,High,645,Male,Single,PhD,False,2020-05-21,2020-06-07,2020-06-16,2020-08-16
CUST-00003370,LN00004269,"Education Loan",11965,0,57,Part-time,Medium,647,Female,Married,PhD,True,2018-05-13,2018-06-02,2018-06-15,2018-08-11
CUST-00002079,LN00001281,"Home Loan",25538,0,23,Self-employed,Low,553,Female,Divorced,Bachelor,False,2019-03-05,2019-03-26,2019-04-01,2019-06-20
CUST-00000378,LN00001739,"Car Loan",71592,0,57,Self-employed,High,698,Male,Single,Bachelor,True,2019-12-05,2019-12-13,2019-12-20,2020-02-24
CUST-00002378,LN00000450,"Car Loan",99018,0,21,Part-time,Medium,633,Male,Single,Master,False,2022-04-17,2022-04-27,2022-05-07,2022-08-01
CUST-00000282,LN00001955,"Education Loan",9110,0,35,Part-time,High,475,Male,Single,PhD,False,2022-06-22,2022-07-03,2022-07-16,2022-11-02
CUST-00004735,LN00000615,"Education Loan",80309,0,57,Full-time,High,424,Female,Divorced,PhD,False,2018-09-25,2018-10-02,2018-10-16,2019-01-25
CUST-00002920,LN00004322,"Car Loan",28266,0,29,Full-time,Low,697,Male,Married,Master,True,2018-04-17,2018-05-09,2018-05-13,2018-06-14
CUST-00004165,LN00000739,"Education Loan",53992,0,33,Part-time,Low,430,Male,Married,PhD,True,2018-03-07,2018-04-02,2018-04-03,2018-09-19
CUST-00003595,LN00001632,"Education Loan",83948,0,20,Part-time,Medium,706,Female,Divorced,PhD,False,2020-10-03,2020-10-19,2020-10-26,2021-03-15
CUST-00001839,LN00004172,"Home Loan",99806,0,28,Self-employed,Low,633,Male,Single,PhD,False,2020-12-11,2021-01-05,2021-01-05,2021-05-05
CUST-00004433,LN00003666,"Car Loan",7910,0,49,Part-time,High,319,Female,Single,"High School",False,2019-12-12,2019-12-30,2020-01-13,2020-04-02
CUST-00002893,LN00000069,"Personal Loan",91982,0,51,Self-employed,Medium,504,Female,Single,Bachelor,False,2018-10-15,2018-10-15,2018-10-27,2019-04-13
CUST-00000215,LN00001875,"Home Loan",1206,0,24,Self-employed,Medium,654,Male,Divorced,"High School",False,2018-08-20,2018-09-14,2018-09-26,2019-03-08
CUST-00004731,LN00000870,"Car Loan",88054,0,48,Self-employed,Medium,472,Female,Divorced,"High School",False,2021-04-01,2021-04-22,2021-04-23,2021-10-09
CUST-00004519,LN00001394,"Car Loan",88897,0,17,Part-time,Medium,488,Female,Single,Bachelor,False,2021-06-18,2021-06-20,2021-06-24,2021-08-17
CUST-00002121,LN00003471,"Home Loan",24419,0,32,Part-time,Low,301,Male,Single,"High School",True,2019-01-25,2019-02-07,2019-02-10,2019-04-06
CUST-00003794,LN00003192,"Education Loan",51636,0,47,Self-employed,High,467,Female,Single,Master,False,2020-11-11,2020-11-28,2020-12-09,2021-03-28
CUST-00002871,LN00003120,"Personal Loan",51015,0,18,Part-time,Low,667,Male,Divorced,"High School",False,2019-12-30,2020-01-27,2020-02-06,2020-04-11
CUST-00000786,LN00002116,"Personal Loan",55268,0,47,Full-time,Low,835,Male,Divorced,Master,False,2019-11-18,2019-12-13,2019-12-14,2020-02-02
CUST-00000938,LN00003966,"Car Loan",88939,0,36,Full-time,Medium,669,Male,Married,Bachelor,False,2020-06-27,2020-06-28,2020-07-12,2020-09-28
CUST-00001690,LN00000377,"Car Loan",19141,0,22,Self-employed,Low,736,Male,Single,PhD,False,2022-12-20,2022-12-27,2022-12-30,2023-04-22
CUST-00003712,LN00002324,"Personal Loan",81356,0,55,Part-time,Low,506,Male,Single,Bachelor,False,2022-02-25,2022-03-13,2022-03-19,2022-08-13
CUST-00001257,LN00002816,"Car Loan",72910,0,25,Full-time,High,348,Female,Married,Bachelor,False,2022-09-04,2022-09-12,2022-09-16,2022-12-14
CUST-00003113,LN00001942,"Personal Loan",57044,0,56,Self-employed,Medium,843,Female,Single,"High School",False,2019-06-05,2019-06-16,2019-06-30,2019-11-12
CUST-00004535,LN00000205,"Education Loan",68214,0,40,Full-time,Low,428,Female,Married,Bachelor,False,2018-12-28,2019-01-03,2019-01-15,2019-06-16
CUST-00001338,LN00000745,"Personal Loan",34827,0,21,Self-employed,Medium,746,Male,Divorced,Bachelor,True,2018-02-28,2018-02-28,2018-03-03,2018-04-20
CUST-00000270,LN00003137,"Personal Loan",56820,0,59,Self-employed,High,334,Male,Married,Master,False,2019-04-30,2019-05-20,2019-05-21,2019-11-05
CUST-00001491,LN00001550,"Personal Loan",63623,0,16,Self-employed,Low,498,Male,Married,PhD,False,2022-07-11,2022-07-31,2022-08-01,2022-11-16
CUST-00002122,LN00004421,"Car Loan",82734,0,19,Full-time,High,376,Male,Divorced,"High School",False,2021-01-29,2021-02-11,2021-02-11,2021-06-20
CUST-00001681,LN00002426,"Education Loan",76450,0,57,Self-employed,High,668,Female,Single,PhD,False,2022-11-16,2022-11-17,2022-11-26,2023-05-05
CUST-00004770,LN00002865,"Home Loan",94426,0,16,Self-employed,Medium,825,Female,Married,PhD,False,2020-03-08,2020-03-24,2020-04-06,2020-09-10
CUST-00003854,LN00003974,"Home Loan",23299,0,35,Full-time,Medium,648,Male,Married,PhD,False,2018-12-06,2018-12-12,2018-12-17,2019-05-02
CUST-00000410,LN00004777,"Personal Loan",44585,0,51,Self-employed,Medium,805,Male,Single,"High School",True,2019-05-01,2019-05-15,2019-05-20,2019-11-05
CUST-00001442,LN00000671,"Car Loan",65044,0,37,Full-time,Low,537,Male,Married,Bachelor,False,2019-11-20,2019-12-17,2019-12-20,2020-03-20
CUST-00002259,LN00003418,"Home Loan",43557,0,17,Self-employed,Medium,579,Female,Divorced,PhD,False,2020-11-05,2020-11-13,2020-11-21,2021-02-03
CUST-00000792,LN00003066,"Home Loan",50080,0,27,Part-time,Low,731,Female,Married,"High School",False,2022-03-02,2022-03-09,2022-03-21,2022-06-15
CUST-00000360,LN00001728,"Personal Loan",3693,0,47,Part-time,High,437,Male,Single,Bachelor,False,2018-05-01,2018-05-07,2018-05-10,2018-10-16
CUST-00004678,LN00004027,"Personal Loan",96003,0,23,Full-time,Medium,568,Male,Single,PhD,False,2021-05-22,2021-05-25,2021-05-27,2021-10-04
CUST-00000423,LN00002933,"Car Loan",96259,0,22,Self-employed,High,500,Female,Married,Master,False,2022-11-01,2022-11-10,2022-11-20,2023-01-07
CUST-00000121,LN00003815,"Home Loan",70163,0,14,Full-time,Medium,441,Female,Single,"High School",False,2018-11-26,2018-12-02,2018-12-11,2019-03-11
CUST-00002221,LN00001704,"Personal Loan",26939,0,55,Self-employed,High,654,Male,Single,PhD,False,2018-03-25,2018-04-08,2018-04-16,2018-05-20
CUST-00004130,LN00003087,"Education Loan",49925,0,48,Full-time,Low,628,Male,Married,"High School",False,2021-04-19,2021-05-18,2021-05-18,2021-07-05
CUST-00002966,LN00003265,"Education Loan",43941,0,17,Part-time,High,530,Male,Married,Master,False,2020-01-15,2020-02-13,2020-02-25,2020-04-25
CUST-00000071,LN00004542,"Education Loan",22834,0,30,Full-time,Low,607,Female,Single,"High School",False,2019-01-21,2019-02-02,2019-02-16,2019-08-11
CUST-00004641,LN00000054,"Personal Loan",19047,0,29,Part-time,Medium,445,Male,Married,Bachelor,True,2018-11-19,2018-11-26,2018-11-27,2019-04-11
